index,DE_B01,DE_B09,DE_B10,DE_B11,DE_B12,DE_B15,DE_B16,DE_B18,DE_B19,DE_load,DE_surplus,DK_B01,DK_B16,DK_B18,DK_B19,DK_load,DK_surplus,HU_B01,HU_B09,HU_B11,HU_B12,HU_B15,HU_B16,HU_B19,HU_load,HU_surplus,IT_B01,IT_B09,IT_B10,IT_B11,IT_B12,IT_B16,IT_B18,IT_B19,IT_load,IT_surplus,NE_B01,NE_B11,NE_B16,NE_B18,NE_B19,NE_load,NE_surplus,PO_B01,PO_B10,PO_B11,PO_B12,PO_B16,PO_B19,PO_load,PO_surplus,SE_B12,SE_B13,SE_B16,SE_B19,SE_load,SE_surplus,SP_B01,SP_B09,SP_B10,SP_B11,SP_B12,SP_B13,SP_B15,SP_B16,SP_B18,SP_B19,SP_load,SP_surplus,UK_B19,UK_load,UK_surplus,y,year,month,day,hour,minute,second
10,18235,88,6388,5759,93,504,20112,16091,53701,179829,-58858,668.0,67.0,610.0,256.0,3818.0,-2217.0,519,0,44,36,32,2889,685,16045,-11840,649.0,649.0,132.0,2083.0,196.0,4427.0,0.0,1685.0,23636.0,-13815.0,84,0,118,7686,5395,42796,-29513,230.0,3.0,208.0,0.0,300.0,3525.0,15643.0,-11377.0,9253.0,0.0,13.0,2141.0,17657.0,-6250.0,501,0,3283,1059,740,0,91,7033,0,4909,20989,-3373,865.0,1095.0,-230.0,1,2022,1,1,9,0,0
11,18071,75,6819,5744,137,504,28215,17729,45898,188335,-65143,732.0,62.0,653.0,385.0,3893.0,-2061.0,522,0,44,36,32,2982,715,16500,-12169,661.0,650.0,107.0,2069.0,246.0,4720.0,0.0,1951.0,24182.0,-13778.0,83,0,147,8346,5463,42494,-28455,231.0,0.0,202.0,0.0,310.0,3271.0,16235.0,-12221.0,9218.0,0.0,12.0,1894.0,17521.0,-6397.0,511,0,3163,1053,705,0,95,7564,0,4490,21514,-3933,865.0,1232.0,-367.0,1,2022,1,1,10,0,0
12,17918,68,6627,5708,100,504,30817,20767,39805,188528,-66214,649.0,40.0,714.0,501.0,3943.0,-2039.0,517,0,44,36,34,2393,821,16966,-13121,656.0,635.0,63.0,2000.0,201.0,4516.0,0.0,2296.0,23270.0,-12903.0,84,0,146,8743,5875,42294,-27446,230.0,4.0,210.0,0.0,249.0,2878.0,16712.0,-13141.0,9238.0,0.0,8.0,1770.0,17542.0,-6526.0,521,0,2993,1049,747,0,95,7514,0,4262,22105,-4924,865.0,1351.0,-486.0,1,2022,1,1,11,0,0
13,17853,68,10226,5707,167,504,25303,22541,34783,184922,-67770,756.0,20.0,763.0,577.0,3915.0,-1799.0,518,0,44,36,34,1513,881,17195,-14169,646.0,635.0,430.0,1877.0,184.0,3544.0,0.0,2561.0,22755.0,-12878.0,83,0,122,8805,6061,43153,-28082,230.0,15.0,211.0,0.0,162.0,2485.0,16874.0,-13771.0,9409.0,0.0,2.0,1723.0,17783.0,-6649.0,538,0,2593,1042,867,0,94,7338,0,4113,22384,-5799,865.0,1508.0,-643.0,1,2022,1,1,12,0,0
14,17952,68,11386,5684,361,504,15859,23767,33238,182733,-73914,803.0,3.0,893.0,799.0,3988.0,-1490.0,518,0,44,36,35,746,750,17488,-15359,648.0,634.0,47.0,2147.0,221.0,1603.0,0.0,2476.0,22881.0,-15105.0,83,0,78,8705,6192,44379,-29321,230.0,152.0,226.0,0.0,51.0,1997.0,17032.0,-14376.0,9813.0,0.0,0.0,1803.0,18417.0,-6801.0,529,0,2322,1039,958,0,91,6789,0,4709,21106,-4669,865.0,1653.0,-788.0,1,2022,1,1,13,0,0
15,18166,72,9664,5666,265,504,4901,24208,36258,183467,-83763,851.0,1.0,1034.0,1314.0,4213.0,-1013.0,520,0,44,36,35,116,766,18052,-16535,642.0,634.0,123.0,2674.0,477.0,154.0,0.0,2404.0,23818.0,-16710.0,80,0,48,8532,6336,45865,-30869,229.0,395.0,247.0,38.0,1.0,1458.0,17715.0,-15347.0,10094.0,0.0,0.0,2043.0,18620.0,-6483.0,530,0,2012,1068,1404,0,94,4763,0,4927,20617,-5819,865.0,1682.0,-817.0,1,2022,1,1,14,0,0
16,18451,72,13250,5648,132,504,166,24503,44378,195571,-88467,875.0,1.0,1102.0,1793.0,4473.0,-702.0,519,0,44,36,33,0,787,19157,-17738,687.0,645.0,1325.0,3212.0,716.0,0.0,0.0,2222.0,26742.0,-17935.0,83,0,4,7816,6717,48406,-33786,229.0,779.0,254.0,43.0,0.0,1122.0,17887.0,-15460.0,10115.0,0.0,0.0,2459.0,18778.0,-6204.0,537,0,1108,1161,1932,0,92,1679,0,5379,21096,-9208,865.0,1671.0,-806.0,3,2022,1,1,15,0,0
17,18518,81,15312,5615,140,504,0,24220,53395,207259,-89474,850.0,1.0,1415.0,2073.0,4407.0,-68.0,520,0,44,36,32,0,795,19169,-17742,702.0,652.0,1789.0,3372.0,502.0,0.0,0.0,1983.0,27672.0,-18672.0,84,0,4,8505,7006,52021,-36422,229.0,744.0,259.0,43.0,0.0,858.0,17929.0,-15796.0,9945.0,0.0,0.0,2985.0,18621.0,-5691.0,538,0,515,1230,2778,0,92,270,0,5617,23211,-12171,865.0,1741.0,-876.0,3,2022,1,1,16,0,0
18,18590,87,15691,5597,125,504,0,24213,61855,208694,-82032,838.0,1.0,1748.0,2205.0,4133.0,659.0,521,0,44,36,32,0,654,19117,-17830,707.0,652.0,2266.0,3357.0,552.0,0.0,0.0,1742.0,28393.0,-19117.0,83,0,4,8859,7265,51429,-35218,229.0,793.0,257.0,43.0,0.0,668.0,17898.0,-15908.0,9775.0,0.0,0.0,3450.0,17942.0,-4717.0,534,0,514,1169,2863,0,94,145,0,6164,24435,-12952,865.0,1977.0,-1112.0,3,2022,1,1,17,0,0
19,18372,89,13187,5600,143,504,0,24412,69095,203720,-72318,693.0,1.0,1962.0,2396.0,3970.0,1082.0,518,0,44,36,32,0,524,19077,-17923,697.0,653.0,2003.0,2929.0,742.0,0.0,0.0,1490.0,27996.0,-19482.0,84,0,4,8956,7162,49999,-33793,230.0,764.0,237.0,43.0,0.0,670.0,17594.0,-15650.0,9553.0,0.0,0.0,4114.0,17481.0,-3814.0,538,0,364,1177,2980,0,94,129,0,6530,24964,-13152,865.0,2083.0,-1218.0,3,2022,1,1,18,0,0
20,17988,100,7906,5614,166,504,0,25190,71955,196041,-66618,545.0,1.0,2075.0,2476.0,3821.0,1276.0,519,0,44,36,34,0,530,18695,-17532,698.0,653.0,1310.0,2653.0,745.0,0.0,0.0,1359.0,26693.0,-19275.0,84,0,4,8479,6735,47940,-32638,230.0,504.0,217.0,43.0,0.0,721.0,16972.0,-15257.0,9212.0,0.0,0.0,4848.0,17048.0,-2988.0,540,0,362,1159,2931,0,91,78,0,6813,25189,-13215,865.0,1925.0,-1060.0,3,2022,1,1,19,0,0
21,17750,104,7363,5630,156,504,0,26157,73594,191635,-60377,472.0,1.0,2048.0,2371.0,3619.0,1273.0,519,0,44,36,33,0,476,18142,-17034,654.0,653.0,243.0,2433.0,582.0,0.0,0.0,1391.0,24635.0,-18679.0,83,0,4,7758,6258,46052,-31949,229.0,422.0,216.0,5.0,0.0,753.0,16426.0,-14801.0,8742.0,0.0,0.0,5364.0,16461.0,-2355.0,539,0,374,1106,2620,0,90,49,0,6838,24134,-12518,865.0,1801.0,-936.0,3,2022,1,1,20,0,0
22,17587,108,7056,5609,385,504,0,27148,74567,187527,-54563,415.0,1.0,2056.0,2275.0,3462.0,1285.0,518,0,44,36,33,0,390,17310,-16289,632.0,653.0,131.0,2059.0,279.0,0.0,0.0,1357.0,22404.0,-17293.0,85,0,4,7854,5735,44113,-30435,229.0,70.0,216.0,0.0,0.0,878.0,15411.0,-14018.0,8332.0,0.0,0.0,5716.0,16048.0,-2000.0,535,0,416,1101,2559,0,92,14,0,6562,22552,-11273,865.0,1691.0,-826.0,3,2022,1,1,21,0,0
23,17455,109,6456,5583,132,504,0,27827,75714,176366,-42586,365.0,1.0,1950.0,1762.0,3351.0,727.0,521,0,44,36,35,0,363,16380,-15381,661.0,652.0,166.0,2049.0,145.0,0.0,0.0,1371.0,20428.0,-15384.0,84,0,4,8411,5530,42275,-28246,225.0,0.0,211.0,0.0,0.0,1329.0,14480.0,-12715.0,7065.0,0.0,0.0,6177.0,15924.0,-2682.0,534,0,1253,1063,1385,0,92,0,0,6413,21048,-10308,865.0,1534.0,-669.0,3,2022,1,1,22,0,0
24,17242,112,17663,5534,213,504,0,27734,74877,170078,-26199,361.0,1.0,1838.0,1760.0,3173.0,787.0,519,0,44,36,30,0,335,15480,-14516,660.0,651.0,717.0,1723.0,152.0,0.0,0.0,1416.0,18989.0,-13670.0,82,0,4,8234,5890,41053,-26843,224.0,0.0,210.0,0.0,0.0,1861.0,13833.0,-11538.0,6519.0,0.0,0.0,6234.0,15328.0,-2575.0,538,0,1368,1050,1001,0,87,15,0,6353,19473,-9061,865.0,1385.0,-520.0,3,2022,1,1,23,0,0
25,17313,110,19511,5535,254,504,0,27313,74062,164923,-20321,353.0,1.0,1861.0,1744.0,3128.0,831.0,515,0,44,36,27,0,271,14901,-14008,649.0,651.0,884.0,1622.0,120.0,0.0,0.0,1365.0,18083.0,-12792.0,81,0,4,8263,6671,39562,-24543,224.0,0.0,210.0,0.0,0.0,2306.0,13451.0,-10711.0,6271.0,0.0,0.0,6296.0,15037.0,-2470.0,537,0,1734,1038,685,0,86,5,0,6053,18375,-8237,865.0,626.0,239.0,3,2022,1,2,0,0,0
26,17326,110,18994,5529,520,504,0,26571,72507,162519,-20458,384.0,1.0,1853.0,1494.0,3093.0,639.0,512,0,44,36,28,0,114,14342,-13608,643.0,651.0,1157.0,1601.0,119.0,0.0,0.0,1343.0,17740.0,-12226.0,82,0,4,8718,6370,38687,-23513,224.0,0.0,210.0,0.0,0.0,2746.0,13267.0,-10087.0,5353.0,0.0,0.0,6257.0,14770.0,-3160.0,544,0,1985,1032,565,0,85,5,0,5959,17841,-7666,865.0,0.0,865.0,1,2022,1,2,1,0,0
27,17325,108,18505,5522,506,504,0,24881,74839,162753,-20563,421.0,1.0,1826.0,1569.0,3063.0,754.0,506,0,44,36,26,0,33,14142,-13497,642.0,651.0,1317.0,1638.0,129.0,0.0,0.0,1236.0,17737.0,-12124.0,84,0,4,8866,6199,38236,-23083,229.0,0.0,209.0,0.0,0.0,3169.0,13326.0,-9719.0,5056.0,0.0,0.0,6034.0,14706.0,-3616.0,545,0,2087,1034,550,0,87,5,0,5816,17539,-7415,865.0,525.0,340.0,3,2022,1,2,2,0,0
28,17368,107,18753,5513,539,504,0,24274,72383,163004,-23563,344.0,1.0,1831.0,1638.0,3149.0,665.0,504,0,44,36,26,0,64,14436,-13762,640.0,651.0,926.0,1648.0,129.0,0.0,0.0,1219.0,18409.0,-13196.0,84,0,4,8578,6573,38283,-23044,222.0,0.0,208.0,0.0,0.0,3345.0,13714.0,-9939.0,5120.0,0.0,0.0,5732.0,14752.0,-3900.0,548,0,1904,1033,558,0,89,5,0,5741,17684,-7806,865.0,1008.0,-143.0,3,2022,1,2,3,0,0
29,17432,104,16442,5505,471,504,0,25189,72108,162453,-24698,395.0,1.0,1680.0,1624.0,3260.0,440.0,500,0,44,36,26,0,236,15008,-14166,642.0,651.0,742.0,1803.0,154.0,0.0,0.0,1071.0,19869.0,-14806.0,84,0,4,8011,7163,38979,-23717,233.0,0.0,207.0,38.0,0.0,3504.0,14230.0,-10248.0,5448.0,0.0,0.0,5394.0,15202.0,-4360.0,554,0,1514,1029,664,0,87,5,0,5585,18353,-8915,865.0,971.0,-106.0,3,2022,1,2,4,0,0
30,17612,104,10021,5495,163,504,0,23348,76162,162596,-29187,423.0,1.0,1660.0,1579.0,3455.0,208.0,504,0,44,36,29,0,358,16122,-15151,633.0,651.0,300.0,2033.0,219.0,46.0,0.0,961.0,21148.0,-16305.0,83,0,4,7959,7155,40264,-25063,234.0,0.0,207.0,43.0,0.0,3522.0,14542.0,-10536.0,6597.0,0.0,0.0,5004.0,15916.0,-4315.0,544,0,1290,1012,696,0,88,5,0,5360,19223,-10228,865.0,942.0,-77.0,3,2022,1,2,5,0,0
31,17871,104,10947,5482,98,504,17,21701,84604,171915,-30587,548.0,1.0,1579.0,1511.0,3722.0,-83.0,518,0,44,36,32,122,354,16881,-15775,643.0,652.0,160.0,2317.0,331.0,759.0,0.0,874.0,22332.0,-16596.0,83,0,4,8523,7326,42237,-26301,235.0,0.0,207.0,43.0,62.0,3608.0,14960.0,-10805.0,7221.0,0.0,0.0,4738.0,16545.0,-4586.0,550,0,1291,1014,820,0,84,88,0,5082,19936,-11007,865.0,948.0,-83.0,3,2022,1,2,6,0,0
32,18135,103,11029,5483,135,504,2801,22052,90534,185202,-34426,575.0,3.0,1534.0,1385.0,3905.0,-408.0,518,1,44,36,35,924,363,17859,-15938,662.0,652.0,237.0,2325.0,267.0,2022.0,0.0,798.0,23775.0,-16812.0,84,0,4,8468,7759,44702,-28387,233.0,270.0,208.0,43.0,258.0,3643.0,15855.0,-11200.0,8378.0,0.0,0.0,4387.0,16960.0,-4195.0,550,0,1283,1032,961,0,85,1620,0,4768,21531,-11232,865.0,1010.0,-145.0,1,2022,1,2,7,0,0
33,18273,100,9638,5488,132,504,10724,20431,95388,195494,-34816,651.0,16.0,1386.0,1288.0,4097.0,-756.0,520,4,44,36,39,2154,344,18359,-15218,657.0,651.0,154.0,2499.0,352.0,3251.0,0.0,826.0,24697.0,-16307.0,84,0,11,8533,8267,46562,-29667,233.0,293.0,204.0,43.0,543.0,3771.0,16709.0,-11622.0,8845.0,0.0,3.0,4095.0,17299.0,-4356.0,553,0,1339,1022,825,0,88,4216,0,4420,23286,-10823,865.0,1119.0,-254.0,1,2022,1,2,8,0,0
34,18298,98,7746,5523,153,504,18275,22233,100958,205032,-31244,710.0,24.0,1197.0,1046.0,4167.0,-1190.0,518,4,44,36,37,2936,287,18526,-14664,668.0,651.0,68.0,2504.0,390.0,4117.0,0.0,1011.0,25360.0,-15951.0,84,0,75,8720,7987,46441,-29575,231.0,284.0,199.0,43.0,633.0,3919.0,17032.0,-11723.0,9036.0,0.0,5.0,3771.0,17428.0,-4616.0,549,0,1398,1035,837,0,87,5885,0,3990,24126,-10345,865.0,1241.0,-376.0,1,2022,1,2,9,0,0
35,18119,93,6252,5529,162,504,22369,25154,107843,216802,-30777,716.0,30.0,1052.0,837.0,4198.0,-1563.0,521,4,44,35,39,3122,211,18846,-14870,656.0,651.0,84.0,2492.0,364.0,4476.0,0.0,1376.0,26123.0,-16024.0,84,0,71,8863,8023,47998,-30957,233.0,284.0,194.0,43.0,705.0,4001.0,17414.0,-11954.0,9129.0,0.0,5.0,3636.0,17553.0,-4783.0,540,0,1483,1024,726,0,89,6655,0,3880,24202,-9805,865.0,1420.0,-555.0,1,2022,1,2,10,0,0
36,17836,90,6427,5495,198,504,20298,24647,116895,217096,-24706,678.0,26.0,736.0,740.0,4212.0,-2032.0,516,4,44,32,39,2818,164,18756,-15139,650.0,651.0,97.0,2366.0,368.0,4047.0,0.0,1840.0,25308.0,-15289.0,84,0,61,8689,8473,48585,-31278,230.0,216.0,191.0,43.0,600.0,4039.0,18006.0,-12687.0,9257.0,0.0,3.0,3356.0,17792.0,-5176.0,548,0,1342,1032,763,0,87,6915,0,3766,24673,-10220,865.0,1562.0,-697.0,1,2022,1,2,11,0,0
37,17725,89,8355,5481,132,504,15275,24073,122835,212695,-18226,754.0,14.0,709.0,736.0,4191.0,-1978.0,514,0,44,32,40,1907,129,18838,-16172,640.0,652.0,165.0,1971.0,230.0,2778.0,0.0,2186.0,24751.0,-16129.0,84,0,93,8682,8213,47660,-30588,232.0,0.0,200.0,43.0,324.0,4092.0,17914.0,-13023.0,9462.0,0.0,1.0,3092.0,17912.0,-5357.0,547,0,1337,1037,828,0,89,6868,0,3425,24921,-10790,865.0,1678.0,-813.0,1,2022,1,2,12,0,0
38,17698,88,8376,5485,218,504,9766,22387,128901,210911,-17488,743.0,2.0,976.0,773.0,4301.0,-1807.0,513,0,44,32,42,871,104,19191,-17585,640.0,653.0,68.0,2039.0,272.0,1221.0,0.0,2420.0,24918.0,-17605.0,83,0,74,8770,7769,47919,-31223,232.0,157.0,203.0,43.0,98.0,4253.0,18024.0,-13038.0,9711.0,0.0,0.0,2810.0,18077.0,-5556.0,546,0,1359,1065,797,0,90,6554,0,3226,23869,-10232,865.0,1770.0,-905.0,1,2022,1,2,13,0,0
39,17798,88,9597,5464,175,504,2971,23993,133692,214431,-20149,854.0,1.0,1289.0,929.0,4521.0,-1448.0,529,0,42,32,43,167,107,19941,-19021,650.0,653.0,227.0,2389.0,305.0,118.0,0.0,2616.0,26049.0,-19091.0,82,0,28,8746,7734,48988,-32398,235.0,410.0,222.0,43.0,1.0,4629.0,18627.0,-13087.0,9776.0,0.0,0.0,2604.0,18265.0,-5885.0,540,0,1249,1076,1156,0,91,4749,0,2817,23258,-11580,865.0,1747.0,-882.0,1,2022,1,2,14,0,0
40,18089,88,7897,5433,361,504,52,25258,139078,225625,-28865,861.0,1.0,1436.0,1280.0,4873.0,-1295.0,542,0,40,32,40,0,122,21433,-20657,664.0,651.0,1678.0,3016.0,549.0,4.0,0.0,2905.0,28970.0,-19503.0,83,0,3,8612,7081,51783,-36004,234.0,793.0,233.0,43.0,0.0,5233.0,18737.0,-12201.0,9904.0,0.0,0.0,2462.0,18541.0,-6175.0,544,0,589,1093,2053,0,90,1651,0,2679,23642,-14943,865.0,1719.0,-854.0,1,2022,1,2,15,0,0
41,18323,89,5165,5418,210,504,0,25548,142671,235222,-37294,823.0,1.0,1747.0,1618.0,4735.0,-546.0,542,0,40,32,40,0,115,21539,-20770,682.0,651.0,1637.0,3207.0,493.0,0.0,0.0,3142.0,30088.0,-20276.0,84,0,4,8848,7043,55587,-39608,234.0,1019.0,236.0,43.0,0.0,5499.0,18753.0,-11722.0,9770.0,0.0,0.0,2421.0,18424.0,-6233.0,550,0,419,1138,2939,0,92,167,0,2636,25965,-18024,865.0,1803.0,-938.0,3,2022,1,2,16,0,0
42,18463,88,6338,5433,418,504,0,26309,143058,234292,-33681,810.0,1.0,1908.0,2078.0,4433.0,364.0,542,3,40,32,40,0,63,21399,-20679,684.0,651.0,1610.0,3261.0,446.0,0.0,0.0,3217.0,30781.0,-20912.0,84,0,4,8779,6762,54121,-38492,233.0,560.0,231.0,43.0,0.0,5881.0,18774.0,-11826.0,9569.0,0.0,0.0,2360.0,18010.0,-6081.0,545,0,420,1217,4279,0,92,64,0,2588,27307,-18102,865.0,2088.0,-1223.0,3,2022,1,2,17,0,0
43,18404,88,9009,5431,580,504,0,27161,136914,227205,-29114,570.0,1.0,1997.0,2317.0,4183.0,702.0,542,4,40,32,40,0,89,21157,-20410,684.0,651.0,1201.0,2926.0,389.0,0.0,0.0,3593.0,29662.0,-20218.0,84,0,4,8918,6856,52577,-36715,234.0,214.0,227.0,43.0,0.0,5931.0,18378.0,-11729.0,9394.0,0.0,0.0,2369.0,17305.0,-5542.0,549,0,312,1282,4740,0,92,64,0,2560,28243,-18644,865.0,2184.0,-1319.0,3,2022,1,2,18,0,0
44,18246,88,10612,5420,318,504,0,27839,133403,216385,-19955,495.0,1.0,1970.0,2262.0,3974.0,754.0,542,4,40,32,38,0,134,20457,-19667,651.0,651.0,114.0,2377.0,180.0,0.0,0.0,3520.0,27563.0,-20070.0,84,0,4,8583,7331,50705,-34703,232.0,19.0,210.0,43.0,0.0,6053.0,17527.0,-10970.0,8605.0,0.0,0.0,2410.0,16546.0,-5531.0,551,0,201,1266,4475,0,90,63,0,2596,28062,-18820,865.0,1973.0,-1108.0,3,2022,1,2,19,0,0
45,17966,91,10939,5420,180,504,0,26119,126559,208694,-20916,528.0,1.0,1839.0,2014.0,3769.0,613.0,542,4,40,32,36,0,178,19465,-18633,621.0,651.0,301.0,2009.0,124.0,0.0,0.0,3541.0,25326.0,-18079.0,84,0,4,8337,7946,48614,-32243,227.0,33.0,201.0,5.0,0.0,6148.0,16897.0,-10283.0,8364.0,0.0,0.0,2610.0,16269.0,-5295.0,551,0,201,1147,3788,0,88,45,0,2737,26650,-18093,865.0,1794.0,-929.0,3,2022,1,2,20,0,0
46,17720,92,13146,5423,212,504,0,23576,121041,200590,-18876,467.0,1.0,1747.0,1733.0,3559.0,389.0,545,4,39,32,32,0,184,18475,-17639,589.0,651.0,253.0,1857.0,107.0,0.0,0.0,3484.0,22897.0,-15956.0,84,0,4,8294,8188,46842,-30272,229.0,4.0,200.0,0.0,0.0,6062.0,15711.0,-9216.0,6719.0,0.0,0.0,2647.0,15506.0,-6140.0,547,0,226,1134,2901,0,88,40,0,2990,24535,-16609,865.0,1655.0,-790.0,3,2022,1,2,21,0,0
47,17454,92,11378,5431,94,504,0,24363,117742,188411,-11353,464.0,1.0,1585.0,1565.0,3394.0,221.0,545,4,36,32,32,0,218,17309,-16442,615.0,651.0,928.0,1750.0,104.0,0.0,0.0,3684.0,20859.0,-13127.0,83,0,4,8719,8368,44466,-27292,224.0,0.0,194.0,0.0,0.0,6079.0,14918.0,-8421.0,5453.0,0.0,0.0,2723.0,15319.0,-7143.0,549,0,546,1023,1145,0,87,40,0,3382,22800,-16028,865.0,1501.0,-636.0,3,2022,1,2,22,0,0
